dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change
statlog_heart,logistic_regression,mar,0.1,0.8444444444444444,0.0622508752369319,0.8969444444444445,0.0391287247270522,0.1232846847002716,0.0344903990911828,-0.0074074074074074,-0.0030555555555555,0.0012371524700321
statlog_heart,logistic_regression,mar,0.2,0.8481481481481481,0.0513868034278207,0.893888888888889,0.0334142536304346,0.1244042363642586,0.0281471854422403,-0.0037037037037037,-0.006111111111111,0.0023567041340191
statlog_heart,logistic_regression,mar,0.3,0.8407407407407408,0.0549348036081159,0.8869444444444443,0.0343395580477323,0.1296049633954223,0.026166849076739,-0.011111111111111,-0.0130555555555555,0.0075574311651828
statlog_heart,logistic_regression,mar,0.5,0.8296296296296296,0.0605756564214671,0.8880555555555556,0.0350347050159631,0.1301734338348447,0.0318190162046003,-0.0222222222222222,-0.0119444444444444,0.0081259016046052
statlog_heart,logistic_regression,mcar,0.1,0.8222222222222222,0.0579721327499945,0.8894444444444444,0.0461332778045052,0.1319161971763628,0.0365696216289415,-0.0296296296296296,-0.0105555555555555,0.0098686649461234
statlog_heart,logistic_regression,mcar,0.2,0.8148148148148149,0.0654728501098655,0.8780555555555555,0.0508265022732563,0.1377136800407812,0.0324276342786905,-0.037037037037037,-0.0219444444444444,0.0156661478105418
statlog_heart,logistic_regression,mcar,0.3,0.7925925925925925,0.0442123569863456,0.8616666666666667,0.0737066989434189,0.1480341513028504,0.0371465238651555,-0.0592592592592592,-0.0383333333333333,0.025986619072611
statlog_heart,logistic_regression,mcar,0.5,0.7666666666666666,0.0687932430407656,0.8177777777777777,0.0579218289732371,0.1712025016497632,0.031145591944739,-0.0851851851851852,-0.0822222222222222,0.0491549694195238
statlog_heart,logistic_regression,mnar,0.1,0.8481481481481481,0.0745355992499929,0.8949999999999999,0.0393401398693277,0.1259873492049732,0.0395931935462919,-0.0037037037037037,-0.005,0.0039398169747337
statlog_heart,logistic_regression,mnar,0.2,0.8592592592592592,0.0687932430407655,0.8969444444444445,0.0300045006912028,0.1219232315274194,0.0328997004489527,0.0074074074074073,-0.0030555555555555,-0.0001243007028199
statlog_heart,logistic_regression,mnar,0.3,0.8703703703703705,0.0654728501098654,0.8950000000000001,0.0318628184178811,0.1214878266173679,0.0323422765986855,0.0185185185185185,-0.0049999999999999,-0.0005597056128715
statlog_heart,logistic_regression,mnar,0.5,0.8518518518518519,0.0654728501098655,0.8991666666666667,0.0235824990036946,0.1225794356233126,0.0289910140160176,-2.220446049250313e-17,-0.0008333333333333,0.0005319033930732
wdbc,logistic_regression,mar,0.1,0.971914299021891,0.0189974183616069,0.9951193595682624,0.0059486491546563,0.0212408331936353,0.0099756321360317,-0.0035087719298245,-0.0002604775942476,0.0013554216933344
wdbc,logistic_regression,mar,0.2,0.971914299021891,0.0168509688611334,0.9935462040113204,0.006243387504384,0.0240438002537509,0.0107195858443382,-0.0035087719298245,-0.0018336331511896,0.00415838875345
wdbc,logistic_regression,mar,0.3,0.9701599130569788,0.0181674188809407,0.9937421037855036,0.0064727300947983,0.0240275025291333,0.0079909043004884,-0.0052631578947368,-0.0016377333770062,0.0041420910288324
wdbc,logistic_regression,mar,0.5,0.9613879832324173,0.0191882258914508,0.9930043005665344,0.0045583141782813,0.0281244167315805,0.0095199850668977,-0.0140350877192982,-0.0023755365959754,0.0082390052312797
wdbc,logistic_regression,mcar,0.1,0.9683744760130416,0.0132806448718135,0.9938593230355433,0.0076020686547237,0.0243150630334022,0.0088166768678624,-0.0070485949386741,-0.0015205141269667,0.0044296515331013
wdbc,logistic_regression,mcar,0.2,0.9631113181183046,0.0156529471835063,0.9925444787588582,0.0066499408770146,0.0270788558396077,0.0072095511100851,-0.0123117528334109,-0.0028353584036518,0.0071934443393068
wdbc,logistic_regression,mcar,0.3,0.9525694767893184,0.0170443626752541,0.9910802021430912,0.0049330195387969,0.0357848586717993,0.0091205002830764,-0.0228535941623971,-0.0042996350194187,0.0158994471714985
wdbc,logistic_regression,mcar,0.5,0.9402421984163948,0.01303144554325,0.9868243050031456,0.0082185166775171,0.0434635543159504,0.0128469117465455,-0.0351808725353206,-0.0085555321593644,0.0235781428156496
wdbc,logistic_regression,mnar,0.1,0.9701443875174662,0.0132675932178397,0.9957117597921724,0.0059722826785336,0.0222039577439182,0.0079269367630861,-0.0052786834342493,0.0003319226296625,0.0023185462436174
wdbc,logistic_regression,mnar,0.2,0.9754230709517157,0.01567220354891,0.9940708852598796,0.0066368784880348,0.0225787297575027,0.011174225335873,0.0,-0.0013089519026302,0.0026933182572018
wdbc,logistic_regression,mnar,0.3,0.9684055270920664,0.0170737704652634,0.9932742016266418,0.0069995561525163,0.0237726697981462,0.0087431290993096,-0.0070175438596491,-0.002105635535868,0.0038872582978453
wdbc,logistic_regression,mnar,0.5,0.9631423691973297,0.0168408633745767,0.992941629102782,0.0060856432600122,0.0251067112015549,0.0101659946777612,-0.0122807017543859,-0.0024382080597278,0.0052212997012541
