dataset,model,mechanism,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change,roc_auc_change,brier_change
statlog_heart,gradient_boosting,mar,0,0.1,0.09104938271604938,0.10493827160493827,0.7592592592592593,0.8527777777777777,0.18070128459497142,-0.01851851851851849,-0.001388888888888884,0.009735533167701732
statlog_heart,gradient_boosting,mar,0,0.2,0.19135802469135801,0.21604938271604937,0.7962962962962963,0.8680555555555556,0.162519330259852,0.01851851851851849,0.01388888888888895,-0.0084464211674177
statlog_heart,gradient_boosting,mar,0,0.3,0.30092592592592593,0.3148148148148148,0.7962962962962963,0.8652777777777778,0.16106576011419052,0.01851851851851849,0.011111111111111183,-0.00989999131307917
statlog_heart,gradient_boosting,mar,0,0.5,0.5015432098765432,0.5246913580246914,0.7962962962962963,0.8444444444444444,0.17440813204078617,0.01851851851851849,-0.009722222222222188,0.0034423806135164825
statlog_heart,gradient_boosting,mar,1,0.1,0.10802469135802469,0.11728395061728394,0.8333333333333334,0.8736111111111111,0.12525993515374642,-0.01851851851851849,0.002777777777777879,0.0026059059615417407
statlog_heart,gradient_boosting,mar,1,0.2,0.2052469135802469,0.2222222222222222,0.8518518518518519,0.8652777777777778,0.1278042817265881,0.0,-0.005555555555555425,0.005150252534383407
statlog_heart,gradient_boosting,mar,1,0.3,0.3117283950617284,0.30864197530864196,0.8703703703703703,0.8861111111111112,0.12116864791935784,0.01851851851851849,0.015277777777777946,-0.0014853812728468363
statlog_heart,gradient_boosting,mar,1,0.5,0.5046296296296297,0.5,0.8703703703703703,0.8861111111111111,0.12968988739294426,0.01851851851851849,0.015277777777777835,0.007035858200739584
statlog_heart,gradient_boosting,mar,2,0.1,0.09259259259259259,0.1419753086419753,0.7037037037037037,0.7902777777777777,0.20590629056241103,-0.03703703703703698,0.01388888888888884,-0.009539833228189326
statlog_heart,gradient_boosting,mar,2,0.2,0.1882716049382716,0.2222222222222222,0.7407407407407407,0.8236111111111111,0.18726080238978685,0.0,0.047222222222222165,-0.028185321400813507
statlog_heart,gradient_boosting,mar,2,0.3,0.3148148148148148,0.3148148148148148,0.7962962962962963,0.8541666666666666,0.1620529633389062,0.05555555555555558,0.07777777777777772,-0.05339316045169415
statlog_heart,gradient_boosting,mar,2,0.5,0.5185185185185185,0.5061728395061729,0.7407407407407407,0.8361111111111111,0.17932783912076516,0.0,0.05972222222222223,-0.03611828466983519
statlog_heart,gradient_boosting,mar,3,0.1,0.08641975308641975,0.09259259259259259,0.7777777777777778,0.8819444444444444,0.160292622057567,0.03703703703703709,0.00694444444444442,-0.018757856551452012
statlog_heart,gradient_boosting,mar,3,0.2,0.18209876543209877,0.17901234567901234,0.7962962962962963,0.8861111111111112,0.16053114802611484,0.05555555555555558,0.011111111111111183,-0.01851933058290417
statlog_heart,gradient_boosting,mar,3,0.3,0.279320987654321,0.30246913580246915,0.7407407407407407,0.8722222222222222,0.16925244521406424,0.0,-0.002777777777777768,-0.009798033394954775
statlog_heart,gradient_boosting,mar,3,0.5,0.49537037037037035,0.5061728395061729,0.7407407407407407,0.8666666666666667,0.16723089735071336,0.0,-0.008333333333333304,-0.01181958125830565
statlog_heart,gradient_boosting,mar,4,0.1,0.10339506172839506,0.09876543209876543,0.8888888888888888,0.9347222222222222,0.09342878323988785,0.0,0.00694444444444442,0.0030569053055411466
statlog_heart,gradient_boosting,mar,4,0.2,0.2175925925925926,0.17901234567901234,0.8703703703703703,0.9402777777777779,0.09319805771435531,-0.01851851851851849,0.012500000000000067,0.0028261797800086114
statlog_heart,gradient_boosting,mar,4,0.3,0.31635802469135804,0.29012345679012347,0.8518518518518519,0.9236111111111112,0.11365466982113179,-0.03703703703703698,-0.004166666666666652,0.023282791886785087
statlog_heart,gradient_boosting,mar,4,0.5,0.5015432098765432,0.5,0.8333333333333334,0.9180555555555556,0.10630647565026709,-0.05555555555555547,-0.009722222222222188,0.015934597715920387
