dataset,model,mechanism,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change,roc_auc_change,brier_change
statlog_heart,gradient_boosting,mnar,0,0.1,0.10185185185185185,0.1111111111111111,0.8148148148148148,0.8861111111111111,0.13981647013718126,0.03703703703703698,0.03194444444444444,-0.031149281290088426
statlog_heart,gradient_boosting,mnar,0,0.2,0.19290123456790123,0.2222222222222222,0.7777777777777778,0.8861111111111112,0.14961634585489297,0.0,0.03194444444444455,-0.021349405572376717
statlog_heart,gradient_boosting,mnar,0,0.3,0.3117283950617284,0.3333333333333333,0.7962962962962963,0.9027777777777778,0.13797388028931432,0.01851851851851849,0.04861111111111116,-0.032991871137955375
statlog_heart,gradient_boosting,mnar,0,0.5,0.5061728395061729,0.5,0.8518518518518519,0.9236111111111112,0.12323185470254444,0.07407407407407407,0.06944444444444453,-0.04773389672472525
statlog_heart,gradient_boosting,mnar,1,0.1,0.10339506172839506,0.1111111111111111,0.8518518518518519,0.8722222222222223,0.12005563979842053,0.0,0.001388888888889106,-0.0025983893937841507
statlog_heart,gradient_boosting,mnar,1,0.2,0.20987654320987653,0.2037037037037037,0.9074074074074074,0.8694444444444444,0.09859707924778964,0.05555555555555558,-0.001388888888888884,-0.02405694994441504
statlog_heart,gradient_boosting,mnar,1,0.3,0.31790123456790126,0.2962962962962963,0.8888888888888888,0.8833333333333334,0.11092717170375091,0.03703703703703698,0.012500000000000178,-0.01172685748845377
statlog_heart,gradient_boosting,mnar,1,0.5,0.5015432098765432,0.48148148148148145,0.8888888888888888,0.8916666666666667,0.10161351003221768,0.03703703703703698,0.02083333333333348,-0.021040519159987003
statlog_heart,gradient_boosting,mnar,2,0.1,0.1111111111111111,0.09876543209876543,0.6666666666666666,0.775,0.22555690946882556,-0.07407407407407407,-0.001388888888888884,0.01011078567822521
statlog_heart,gradient_boosting,mnar,2,0.2,0.2191358024691358,0.22839506172839505,0.6851851851851852,0.775,0.22157323146267274,-0.05555555555555547,-0.001388888888888884,0.0061271076720723905
statlog_heart,gradient_boosting,mnar,2,0.3,0.3271604938271605,0.32098765432098764,0.6296296296296297,0.7819444444444444,0.22489502808288045,-0.11111111111111105,0.005555555555555536,0.009448904292280097
statlog_heart,gradient_boosting,mnar,2,0.5,0.5185185185185185,0.5,0.7407407407407407,0.8402777777777778,0.17862715567335286,0.0,0.06388888888888888,-0.0368189681172475
statlog_heart,gradient_boosting,mnar,3,0.1,0.10493827160493827,0.11728395061728394,0.7407407407407407,0.8611111111111112,0.18829370727281944,0.0,-0.01388888888888884,0.009243228663800424
statlog_heart,gradient_boosting,mnar,3,0.2,0.20987654320987653,0.25308641975308643,0.7962962962962963,0.8513888888888889,0.1738749266856493,0.05555555555555558,-0.023611111111111138,-0.0051755519233697145
statlog_heart,gradient_boosting,mnar,3,0.3,0.30092592592592593,0.3333333333333333,0.7777777777777778,0.875,0.17307585307570653,0.03703703703703709,0.0,-0.005974625533312489
statlog_heart,gradient_boosting,mnar,3,0.5,0.5077160493827161,0.4691358024691358,0.7222222222222222,0.8680555555555556,0.19172992153890392,-0.01851851851851849,-0.00694444444444442,0.012679442929884904
statlog_heart,gradient_boosting,mnar,4,0.1,0.11265432098765432,0.08024691358024691,0.8888888888888888,0.9222222222222223,0.09695315016346635,0.0,-0.005555555555555536,0.006581272229119653
statlog_heart,gradient_boosting,mnar,4,0.2,0.20833333333333334,0.17901234567901234,0.8888888888888888,0.9361111111111111,0.09601005319682103,0.0,0.008333333333333304,0.005638175262474329
statlog_heart,gradient_boosting,mnar,4,0.3,0.3055555555555556,0.2654320987654321,0.8333333333333334,0.9097222222222223,0.11108305876607089,-0.05555555555555547,-0.01805555555555549,0.020711180831724185
statlog_heart,gradient_boosting,mnar,4,0.5,0.49074074074074076,0.5308641975308642,0.8703703703703703,0.9333333333333333,0.0892149124569148,-0.01851851851851849,0.005555555555555536,-0.0011569654774318955
