dataset,model,mechanism,fold,rate,train_actual_rate,test_actual_rate,clean_accuracy,clean_roc_auc,clean_brier,accuracy,roc_auc,brier,accuracy_change,roc_auc_change,brier_change
statlog_heart,logistic_regression,mcar,0,0.1,0.09650997150997151,0.09401709401709402,0.9074074074074074,0.9472222222222223,0.08965282127241327,0.8703703703703703,0.9347222222222222,0.10155622412140913,-0.03703703703703709,-0.012500000000000067,0.011903402848995867
statlog_heart,logistic_regression,mcar,0,0.2,0.2037037037037037,0.1866096866096866,0.9074074074074074,0.9472222222222223,0.08965282127241327,0.8333333333333334,0.9166666666666666,0.11511867531924684,-0.07407407407407407,-0.03055555555555567,0.025465854046833575
statlog_heart,logistic_regression,mcar,0,0.3,0.3005698005698006,0.2948717948717949,0.9074074074074074,0.9472222222222223,0.08965282127241327,0.8333333333333334,0.9402777777777778,0.10501034607784676,-0.07407407407407407,-0.006944444444444531,0.015357524805433495
statlog_heart,logistic_regression,mcar,0,0.5,0.5028490028490028,0.5156695156695157,0.9074074074074074,0.9472222222222223,0.08965282127241327,0.7407407407407407,0.8125,0.17762306035694117,-0.16666666666666674,-0.1347222222222223,0.0879702390845279
statlog_heart,logistic_regression,mcar,1,0.1,0.10790598290598291,0.10398860398860399,0.9259259259259259,0.9180555555555555,0.09333818132280701,0.8703703703703703,0.9166666666666666,0.10706068990948212,-0.05555555555555558,-0.001388888888888884,0.013722508586675106
statlog_heart,logistic_regression,mcar,1,0.2,0.20477207977207978,0.18803418803418803,0.9259259259259259,0.9180555555555555,0.09333818132280701,0.8888888888888888,0.9138888888888889,0.10996270686363514,-0.03703703703703709,-0.004166666666666652,0.016624525540828133
statlog_heart,logistic_regression,mcar,1,0.3,0.29736467236467234,0.2934472934472934,0.9259259259259259,0.9180555555555555,0.09333818132280701,0.8148148148148148,0.8972222222222223,0.12934624694449667,-0.11111111111111116,-0.02083333333333326,0.036008065621689664
statlog_heart,logistic_regression,mcar,1,0.5,0.5064102564102564,0.5,0.9259259259259259,0.9180555555555555,0.09333818132280701,0.8518518518518519,0.8847222222222222,0.13693714212197655,-0.07407407407407407,-0.033333333333333326,0.04359896079916954
statlog_heart,logistic_regression,mcar,2,0.1,0.10505698005698005,0.10826210826210826,0.7777777777777778,0.8375,0.16379336148650983,0.7592592592592593,0.8166666666666667,0.18631111789764276,-0.01851851851851849,-0.02083333333333337,0.022517756411132933
statlog_heart,logistic_regression,mcar,2,0.2,0.20975783475783477,0.21225071225071226,0.7777777777777778,0.8375,0.16379336148650983,0.7222222222222222,0.7916666666666666,0.188755272361931,-0.05555555555555558,-0.04583333333333339,0.024961910875421156
statlog_heart,logistic_regression,mcar,2,0.3,0.3091168091168091,0.3076923076923077,0.7777777777777778,0.8375,0.16379336148650983,0.7222222222222222,0.7458333333333333,0.19703418734315953,-0.05555555555555558,-0.09166666666666667,0.0332408258566497
statlog_heart,logistic_regression,mcar,2,0.5,0.4960826210826211,0.49002849002849,0.7777777777777778,0.8375,0.16379336148650983,0.6666666666666666,0.7361111111111112,0.2161958751043225,-0.11111111111111116,-0.10138888888888886,0.052402513617812674
statlog_heart,logistic_regression,mcar,3,0.1,0.11182336182336182,0.09116809116809117,0.7592592592592593,0.8944444444444444,0.16103550497658342,0.7592592592592593,0.875,0.15295025742108054,0.0,-0.019444444444444375,-0.008085247555502884
statlog_heart,logistic_regression,mcar,3,0.2,0.21616809116809116,0.1794871794871795,0.7592592592592593,0.8944444444444444,0.16103550497658342,0.7777777777777778,0.8875,0.15001634757586274,0.01851851851851849,-0.00694444444444442,-0.01101915740072068
statlog_heart,logistic_regression,mcar,3,0.3,0.31695156695156695,0.2849002849002849,0.7592592592592593,0.8944444444444444,0.16103550497658342,0.7777777777777778,0.8416666666666667,0.1748518367399783,0.01851851851851849,-0.0527777777777777,0.01381633176339489
statlog_heart,logistic_regression,mcar,3,0.5,0.50997150997151,0.4886039886039886,0.7592592592592593,0.8944444444444444,0.16103550497658342,0.7962962962962963,0.7958333333333334,0.178335104365305,0.03703703703703698,-0.09861111111111098,0.01729959938872158
statlog_heart,logistic_regression,mcar,4,0.1,0.10398860398860399,0.1111111111111111,0.8888888888888888,0.9027777777777778,0.10241779209288368,0.8518518518518519,0.9041666666666667,0.11170269653219983,-0.03703703703703698,0.001388888888888884,0.00928490443931615
statlog_heart,logistic_regression,mcar,4,0.2,0.20975783475783477,0.21937321937321938,0.8888888888888888,0.9027777777777778,0.10241779209288368,0.8518518518518519,0.8805555555555555,0.12471539808323068,-0.03703703703703698,-0.022222222222222254,0.022297605990346997
statlog_heart,logistic_regression,mcar,4,0.3,0.31374643874643876,0.3247863247863248,0.8888888888888888,0.9027777777777778,0.10241779209288368,0.8148148148148148,0.8833333333333333,0.13392813940877094,-0.07407407407407407,-0.019444444444444486,0.031510347315887255
statlog_heart,logistic_regression,mcar,4,0.5,0.5060541310541311,0.5085470085470085,0.8888888888888888,0.9027777777777778,0.10241779209288368,0.7777777777777778,0.8597222222222223,0.146921326300271,-0.11111111111111105,-0.043055555555555514,0.04450353420738731
