dataset,model,mechanism,fold,rate,train_actual_rate,test_actual_rate,clean_accuracy,clean_roc_auc,clean_brier,accuracy,roc_auc,brier,accuracy_change,roc_auc_change,brier_change
statlog_heart,random_forest,mar,0,0.1,0.09104938271604938,0.10493827160493827,0.8333333333333334,0.9319444444444445,0.1106736111111111,0.7962962962962963,0.9270833333333334,0.11443750000000001,-0.03703703703703709,-0.004861111111111094,0.003763888888888914
statlog_heart,random_forest,mar,0,0.2,0.19135802469135801,0.21604938271604937,0.8333333333333334,0.9319444444444445,0.1106736111111111,0.8148148148148148,0.9340277777777777,0.1102097222222222,-0.0185185185185186,0.002083333333333215,-0.00046388888888890256
statlog_heart,random_forest,mar,0,0.3,0.30092592592592593,0.3148148148148148,0.8333333333333334,0.9319444444444445,0.1106736111111111,0.7962962962962963,0.9180555555555556,0.11976574074074076,-0.03703703703703709,-0.01388888888888884,0.009092129629629658
statlog_heart,random_forest,mar,0,0.5,0.5015432098765432,0.5246913580246914,0.8333333333333334,0.9319444444444445,0.1106736111111111,0.7777777777777778,0.9159722222222222,0.11748981481481481,-0.05555555555555558,-0.015972222222222276,0.006816203703703713
statlog_heart,random_forest,mar,1,0.1,0.10802469135802469,0.11728395061728394,0.9074074074074074,0.9097222222222222,0.1119875,0.8888888888888888,0.9034722222222222,0.11312222222222222,-0.0185185185185186,-0.006249999999999978,0.0011347222222222175
statlog_heart,random_forest,mar,1,0.2,0.2052469135802469,0.2222222222222222,0.9074074074074074,0.9097222222222222,0.1119875,0.8703703703703703,0.8909722222222223,0.11657361111111111,-0.03703703703703709,-0.018749999999999933,0.00458611111111111
statlog_heart,random_forest,mar,1,0.3,0.3117283950617284,0.30864197530864196,0.9074074074074074,0.9097222222222222,0.1119875,0.8888888888888888,0.8965277777777778,0.11468287037037037,-0.0185185185185186,-0.013194444444444398,0.002695370370370362
statlog_heart,random_forest,mar,1,0.5,0.5046296296296297,0.5,0.9074074074074074,0.9097222222222222,0.1119875,0.8888888888888888,0.8958333333333335,0.11166851851851854,-0.0185185185185186,-0.013888888888888729,-0.00031898148148146177
statlog_heart,random_forest,mar,2,0.1,0.09259259259259259,0.1419753086419753,0.7407407407407407,0.8097222222222222,0.1729185185185185,0.7777777777777778,0.8354166666666666,0.16752175925925922,0.03703703703703709,0.025694444444444353,-0.005396759259259282
statlog_heart,random_forest,mar,2,0.2,0.1882716049382716,0.2222222222222222,0.7407407407407407,0.8097222222222222,0.1729185185185185,0.7777777777777778,0.8368055555555556,0.1684722222222222,0.03703703703703709,0.027083333333333348,-0.004446296296296309
statlog_heart,random_forest,mar,2,0.3,0.3148148148148148,0.3148148148148148,0.7407407407407407,0.8097222222222222,0.1729185185185185,0.7962962962962963,0.8333333333333333,0.1604523148148148,0.05555555555555558,0.023611111111111027,-0.012466203703703688
statlog_heart,random_forest,mar,2,0.5,0.5185185185185185,0.5061728395061729,0.7407407407407407,0.8097222222222222,0.1729185185185185,0.7962962962962963,0.8277777777777778,0.16817777777777773,0.05555555555555558,0.018055555555555602,-0.004740740740740768
statlog_heart,random_forest,mar,3,0.1,0.08641975308641975,0.09259259259259259,0.7592592592592593,0.8805555555555555,0.15213842592592589,0.7592592592592593,0.8791666666666667,0.14625462962962962,0.0,-0.001388888888888884,-0.005883796296296262
statlog_heart,random_forest,mar,3,0.2,0.18209876543209877,0.17901234567901234,0.7592592592592593,0.8805555555555555,0.15213842592592589,0.7407407407407407,0.8798611111111112,0.14708935185185187,-0.0185185185185186,-0.000694444444444331,-0.005049074074074011
statlog_heart,random_forest,mar,3,0.3,0.279320987654321,0.30246913580246915,0.7592592592592593,0.8805555555555555,0.15213842592592589,0.7407407407407407,0.8611111111111112,0.1515388888888889,-0.0185185185185186,-0.019444444444444375,-0.0005995370370369957
statlog_heart,random_forest,mar,3,0.5,0.49537037037037035,0.5061728395061729,0.7592592592592593,0.8805555555555555,0.15213842592592589,0.7777777777777778,0.8645833333333334,0.15320462962962964,0.01851851851851849,-0.015972222222222165,0.0010662037037037497
statlog_heart,random_forest,mar,4,0.1,0.10339506172839506,0.09876543209876543,0.8703703703703703,0.90625,0.11030972222222223,0.8703703703703703,0.9145833333333333,0.10941620370370371,0.0,0.008333333333333304,-0.0008935185185185157
statlog_heart,random_forest,mar,4,0.2,0.2175925925925926,0.17901234567901234,0.8703703703703703,0.90625,0.11030972222222223,0.8518518518518519,0.9194444444444444,0.10316435185185185,-0.01851851851851849,0.013194444444444398,-0.007145370370370371
statlog_heart,random_forest,mar,4,0.3,0.31635802469135804,0.29012345679012347,0.8703703703703703,0.90625,0.11030972222222223,0.8703703703703703,0.9006944444444445,0.10832453703703702,0.0,-0.005555555555555536,-0.001985185185185201
statlog_heart,random_forest,mar,4,0.5,0.5015432098765432,0.5,0.8703703703703703,0.90625,0.11030972222222223,0.8703703703703703,0.8833333333333333,0.11791527777777777,0.0,-0.022916666666666696,0.007605555555555546
