dataset,model,mechanism,fold,rate,train_actual_rate,test_actual_rate,clean_accuracy,clean_roc_auc,clean_brier,accuracy,roc_auc,brier,accuracy_change,roc_auc_change,brier_change
wdbc,gradient_boosting,mnar,0,0.1,0.09758241758241758,0.1,0.9824561403508771,0.9996724533245988,0.0074928346745583956,0.9912280701754386,0.9996724533245988,0.009487527899588172,0.00877192982456143,0.0,0.0019946932250297766
wdbc,gradient_boosting,mnar,0,0.2,0.20395604395604397,0.20877192982456141,0.9824561403508771,0.9996724533245988,0.0074928346745583956,0.9824561403508771,0.9990173599737963,0.016790712309822278,0.0,-0.0006550933508024936,0.009297877635263883
wdbc,gradient_boosting,mnar,0,0.3,0.2945054945054945,0.30350877192982456,0.9824561403508771,0.9996724533245988,0.0074928346745583956,0.9736842105263158,0.9983622666229938,0.015737842360824723,-0.00877192982456132,-0.0013101867016049873,0.008245007686266327
wdbc,gradient_boosting,mnar,0,0.5,0.48747252747252745,0.49298245614035086,0.9824561403508771,0.9996724533245988,0.0074928346745583956,0.9824561403508771,0.9996724533245988,0.008357288014543477,0.0,0.0,0.0008644533399850812
wdbc,gradient_boosting,mnar,1,0.1,0.1010989010989011,0.10877192982456141,0.9385964912280702,0.9921388797903701,0.046915140990998305,0.9385964912280702,0.99475925319358,0.041646096926553036,0.0,0.0026203734032099746,-0.005269044064445269
wdbc,gradient_boosting,mnar,1,0.2,0.20043956043956043,0.18421052631578946,0.9385964912280702,0.9921388797903701,0.046915140990998305,0.9473684210526315,0.9908286930887651,0.03899913548570012,0.00877192982456132,-0.0013101867016049873,-0.007916005505298182
wdbc,gradient_boosting,mnar,1,0.3,0.2967032967032967,0.2964912280701754,0.9385964912280702,0.9921388797903701,0.046915140990998305,0.9473684210526315,0.9898460530625615,0.04002244185925215,0.00877192982456132,-0.0022928267278086167,-0.006892699131746158
wdbc,gradient_boosting,mnar,1,0.5,0.4949450549450549,0.48771929824561405,0.9385964912280702,0.9921388797903701,0.046915140990998305,0.9385964912280702,0.9872256796593515,0.05038886920149719,0.0,-0.004913200131018591,0.0034737282104988845
wdbc,gradient_boosting,mnar,2,0.1,0.09758241758241758,0.10175438596491228,0.9385964912280702,0.9808201058201058,0.04240254159283157,0.956140350877193,0.9781746031746031,0.04345724814821962,0.01754385964912275,-0.002645502645502673,0.0010547065553880505
wdbc,gradient_boosting,mnar,2,0.2,0.20659340659340658,0.2,0.9385964912280702,0.9808201058201058,0.04240254159283157,0.9473684210526315,0.976521164021164,0.04265026595843246,0.00877192982456132,-0.004298941798941858,0.0002477243656008876
wdbc,gradient_boosting,mnar,2,0.3,0.31824175824175827,0.312280701754386,0.9385964912280702,0.9808201058201058,0.04240254159283157,0.956140350877193,0.9877645502645502,0.035996646786609854,0.01754385964912275,0.00694444444444442,-0.006405894806221717
wdbc,gradient_boosting,mnar,2,0.5,0.5068131868131868,0.512280701754386,0.9385964912280702,0.9808201058201058,0.04240254159283157,0.956140350877193,0.9821428571428571,0.03693497847159148,0.01754385964912275,0.001322751322751281,-0.005467563121240089
wdbc,gradient_boosting,mnar,3,0.1,0.10197802197802198,0.10701754385964912,0.9736842105263158,0.9990079365079365,0.01840286537881694,0.956140350877193,0.9983465608465608,0.022435251945956226,-0.01754385964912286,-0.000661375661375696,0.004032386567139286
wdbc,gradient_boosting,mnar,3,0.2,0.2057142857142857,0.18771929824561404,0.9736842105263158,0.9990079365079365,0.01840286537881694,0.956140350877193,0.9957010582010581,0.027738738329309075,-0.01754385964912286,-0.003306878306878369,0.009335872950492135
wdbc,gradient_boosting,mnar,3,0.3,0.316043956043956,0.2719298245614035,0.9736842105263158,0.9990079365079365,0.01840286537881694,0.9649122807017544,0.9983465608465608,0.022324370258694763,-0.00877192982456143,-0.000661375661375696,0.003921504879877823
wdbc,gradient_boosting,mnar,3,0.5,0.52,0.47192982456140353,0.9736842105263158,0.9990079365079365,0.01840286537881694,0.9473684210526315,0.9970238095238094,0.02936389867933811,-0.026315789473684292,-0.001984126984127088,0.010961033300521169
wdbc,gradient_boosting,mnar,4,0.1,0.09824561403508772,0.10088495575221239,0.9557522123893806,0.9818913480885312,0.028925123763130688,0.9646017699115044,0.9949698189134809,0.028169099587914994,0.008849557522123797,0.013078470824949728,-0.0007560241752156936
wdbc,gradient_boosting,mnar,4,0.2,0.2043859649122807,0.20707964601769913,0.9557522123893806,0.9818913480885312,0.028925123763130688,0.9557522123893806,0.994634473507713,0.03011547734737335,0.0,0.012743125419181767,0.0011903535842426628
wdbc,gradient_boosting,mnar,4,0.3,0.3030701754385965,0.2938053097345133,0.9557522123893806,0.9818913480885312,0.028925123763130688,0.9734513274336283,0.9902749832327298,0.026088342781108814,0.017699115044247704,0.008383635144198598,-0.002836780982021874
wdbc,gradient_boosting,mnar,4,0.5,0.5135964912280702,0.47079646017699117,0.9557522123893806,0.9818913480885312,0.028925123763130688,0.9469026548672567,0.9932930918846412,0.040465351051227935,-0.008849557522123908,0.011401743796110031,0.011540227288097248
