dataset,model,imputer,mechanism,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,iterative,mcar,0,0.1,0.09692307692307692,0.09912280701754386,0.9649122807017544,0.9918113331149689,0.02355484345195365,0.024905247046501634,-0.00877192982456143,-0.003603013429413604,0.0025364900942042162,-0.004900328530806141
wdbc,logistic_regression,iterative,mcar,0,0.2,0.20373626373626375,0.20058479532163742,0.9649122807017544,0.990501146413364,0.024974907035334313,0.03941340987844405,-0.00877192982456143,-0.004913200131018591,0.003956553677584879,0.009607834301136275
wdbc,logistic_regression,iterative,mcar,0,0.3,0.3054945054945055,0.306140350877193,0.956140350877193,0.9911562397641664,0.02801109607374094,0.023318162528390075,-0.01754385964912286,-0.004258106780216098,0.006992742715991505,-0.006487413048917701
wdbc,logistic_regression,iterative,mcar,0,0.5,0.5022710622710622,0.5084795321637426,0.9824561403508771,0.996069439895185,0.02174611828082159,0.030492703634716522,0.00877192982456132,0.0006550933508024936,0.0007277649230721557,0.0006871280574087466
wdbc,logistic_regression,iterative,mar,0,0.1,0.10285714285714286,0.10175438596491228,0.9736842105263158,0.9954143465443825,0.02060115274830092,0.029422187659408024,0.0,0.0,-0.0004172006094485155,-0.00038338791789975166
wdbc,logistic_regression,iterative,mar,0,0.2,0.19824175824175824,0.19298245614035087,0.9649122807017544,0.9918113331149689,0.02170477290865629,0.02978074514220498,-0.00877192982456143,-0.003603013429413604,0.0006864195509068555,-2.4830435102794063e-05
wdbc,logistic_regression,iterative,mar,0,0.3,0.2865934065934066,0.2964912280701754,0.9736842105263158,0.9882083196855552,0.022607507747595037,0.027694401319293915,0.0,-0.007206026858827319,0.0015891543898456026,-0.0021111742580138607
wdbc,logistic_regression,iterative,mar,0,0.5,0.48747252747252745,0.5017543859649123,0.9649122807017544,0.9882083196855552,0.022844542947345402,0.034859659073324986,-0.00877192982456143,-0.007206026858827319,0.0018261895895959682,0.005054083496017211
wdbc,logistic_regression,iterative,mnar,0,0.1,0.09758241758241758,0.1,0.9736842105263158,0.9950867998689814,0.022047340132375602,0.03618780106365199,0.0,-0.0003275466754011358,0.0010289867746261679,0.006382225486344217
wdbc,logistic_regression,iterative,mnar,0,0.2,0.20395604395604397,0.20877192982456141,0.9912280701754386,0.9898460530625613,0.01632576163890786,0.030011033816401418,0.01754385964912275,-0.005568293481821196,-0.004692591718841576,0.00020545823909364283
wdbc,logistic_regression,iterative,mnar,0,0.3,0.2945054945054945,0.30350877192982456,0.9912280701754386,0.9901735997379626,0.017004757206344798,0.0306441226593025,0.01754385964912275,-0.005240746806419949,-0.004013596151404637,0.0008385470819947255
wdbc,logistic_regression,iterative,mnar,0,0.5,0.48747252747252745,0.49298245614035086,0.9649122807017544,0.9868981329839502,0.022094115308296327,0.022273483591011306,-0.00877192982456143,-0.008516213560432306,0.0010757619505468927,-0.007532091986296469
wdbc,logistic_regression,iterative,mcar,1,0.1,0.10007326007326008,0.1023391812865497,0.9473684210526315,0.99737962659679,0.027056223699801672,0.04105430591094869,-0.00877192982456143,-0.0003275466754012468,0.001110773524184351,0.001229855803416141
wdbc,logistic_regression,iterative,mcar,1,0.2,0.19985347985347984,0.19035087719298247,0.9298245614035088,0.986570586308549,0.036158176409845956,0.05388852126466148,-0.02631578947368418,-0.011136586963642281,0.010212726234228635,0.014064071157128932
wdbc,logistic_regression,iterative,mcar,1,0.3,0.2986080586080586,0.289766081871345,0.9385964912280702,0.9967245332459875,0.03210976626946277,0.039004136538582465,-0.01754385964912275,-0.0009826400262037405,0.006164316093845448,-0.0008203135689500846
wdbc,logistic_regression,iterative,mcar,1,0.5,0.4950915750915751,0.493859649122807,0.9298245614035088,0.9977071732721914,0.03518217297183129,0.0473068849223607,-0.02631578947368418,1.1102230246251565e-16,0.009236722796213966,0.0074824348148281525
wdbc,logistic_regression,iterative,mar,1,0.1,0.10373626373626374,0.11403508771929824,0.9298245614035088,0.9954143465443825,0.030862330533275792,0.05345958535982827,-0.02631578947368418,-0.0022928267278087278,0.004916880357658471,0.013635135252295719
wdbc,logistic_regression,iterative,mar,1,0.2,0.20043956043956043,0.2,0.9298245614035088,0.9950867998689813,0.03410621746001466,0.05072845002241482,-0.02631578947368418,-0.0026203734032099746,0.008160767284397338,0.010903999914882272
wdbc,logistic_regression,iterative,mar,1,0.3,0.29406593406593406,0.2982456140350877,0.9210526315789473,0.9944317065181788,0.03696809333613707,0.05470026834481731,-0.03508771929824561,-0.0032754667540124682,0.011022643160519749,0.01487581823728476
wdbc,logistic_regression,iterative,mar,1,0.5,0.4826373626373626,0.4982456140350877,0.9385964912280702,0.996069439895185,0.038198250295391874,0.04470119254865092,-0.01754385964912275,-0.0016377333770062341,0.012252800119774553,0.004876742441118367
wdbc,logistic_regression,iterative,mnar,1,0.1,0.1010989010989011,0.10877192982456141,0.9473684210526315,0.9990173599737963,0.026898812639647343,0.040763262932787286,-0.00877192982456143,0.0013101867016049873,0.000953362464030022,0.0009388128252547367
wdbc,logistic_regression,iterative,mnar,1,0.2,0.20043956043956043,0.18421052631578946,0.9473684210526315,0.998689813298395,0.023222419206429576,0.04101348636019842,-0.00877192982456143,0.0009826400262037405,-0.0027230309691877452,0.0011890362526658718
wdbc,logistic_regression,iterative,mnar,1,0.3,0.2967032967032967,0.2964912280701754,0.9473684210526315,0.9986898132983951,0.02960741933166456,0.04630811725987779,-0.00877192982456143,0.0009826400262038515,0.0036619691560472387,0.006483667152345239
wdbc,logistic_regression,iterative,mnar,1,0.5,0.4949450549450549,0.48771929824561405,0.9649122807017544,0.9996724533245988,0.024266509500677293,0.04084754228551012,0.00877192982456143,0.001965280052407481,-0.0016789406749400278,0.0010230921779775734
wdbc,logistic_regression,iterative,mcar,2,0.1,0.10175824175824176,0.10877192982456141,0.9649122807017544,0.9857804232804233,0.03026174208555906,0.05072542180315594,0.0,0.000661375661375585,0.0003079260740439238,0.014710838006168944
wdbc,logistic_regression,iterative,mcar,2,0.2,0.2019047619047619,0.20701754385964913,0.9649122807017544,0.9857804232804233,0.03163672992276167,0.0259537916786639,0.0,0.000661375661375585,0.0016829139112465308,-0.010060792118323093
wdbc,logistic_regression,iterative,mcar,2,0.3,0.3035164835164835,0.306140350877193,0.9649122807017544,0.986111111111111,0.02712980478527774,0.04490501800084144,0.0,0.0009920634920633775,-0.002824011226237398,0.00889043420385445
wdbc,logistic_regression,iterative,mcar,2,0.5,0.5022710622710622,0.5105263157894737,0.9736842105263158,0.9880952380952381,0.03118226788599968,0.03915961139866965,0.00877192982456143,0.0029761904761904656,0.0012284518744845423,0.0031450276016826567
wdbc,logistic_regression,iterative,mar,2,0.1,0.1010989010989011,0.1,0.9649122807017544,0.9851190476190477,0.030732400351581105,0.03705775372173604,0.0,0.0,0.0007785843400659673,0.0010431699247490447
wdbc,logistic_regression,iterative,mar,2,0.2,0.20483516483516484,0.19298245614035087,0.956140350877193,0.9857804232804233,0.03198670109596625,0.040642628812685974,-0.00877192982456143,0.000661375661375585,0.002032885084451111,0.004628045015698981
wdbc,logistic_regression,iterative,mar,2,0.3,0.30725274725274726,0.312280701754386,0.956140350877193,0.986111111111111,0.032652282916087814,0.04033587299090376,-0.00877192982456143,0.0009920634920633775,0.0026984669045726772,0.004321289193916764
wdbc,logistic_regression,iterative,mar,2,0.5,0.4918681318681319,0.5140350877192983,0.9649122807017544,0.9841269841269842,0.03796123560092791,0.057369878180275724,0.0,-0.0009920634920634885,0.00800741958941277,0.02135529438328873
wdbc,logistic_regression,iterative,mnar,2,0.1,0.09758241758241758,0.10175438596491228,0.956140350877193,0.9857804232804233,0.030025943260870862,0.052055094521374745,-0.00877192982456143,0.000661375661375585,7.212724935572526e-05,0.016040510724387752
