dataset,model,mechanism,imputer,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean
wdbc,logistic_regression,mar,simple,0,0.1,0.10285714285714286,0.10175438596491228,0.9649122807017544,0.99475925319358,0.02226781104956381,-0.00877192982456143,-0.0006550933508024936,0.0012494576918143756
wdbc,logistic_regression,mar,knn,0,0.1,0.10285714285714286,0.10175438596491228,0.9649122807017544,0.9947592531935802,0.022827733621770353,-0.00877192982456143,-0.0006550933508023826,0.001809380264020919
wdbc,logistic_regression,mar,iterative,0,0.1,0.10285714285714286,0.10175438596491228,0.9736842105263158,0.9954143465443825,0.02060115274830092,0.0,0.0,-0.0004172006094485155
wdbc,logistic_regression,mar,simple,0,0.2,0.19824175824175824,0.19298245614035087,0.9736842105263158,0.9882083196855552,0.022446793012138082,0.0,-0.007206026858827319,0.0014284396543886475
wdbc,logistic_regression,mar,knn,0,0.2,0.19824175824175824,0.19298245614035087,0.9736842105263158,0.9947592531935802,0.021573102156126112,0.0,-0.0006550933508023826,0.000554748798376678
wdbc,logistic_regression,mar,iterative,0,0.2,0.19824175824175824,0.19298245614035087,0.9649122807017544,0.9918113331149689,0.02170477290865629,-0.00877192982456143,-0.003603013429413604,0.0006864195509068555
wdbc,logistic_regression,mar,simple,0,0.3,0.2865934065934066,0.2964912280701754,0.9824561403508771,0.9882083196855551,0.019757940501202904,0.00877192982456132,-0.00720602685882743,-0.0012604128565465306
wdbc,logistic_regression,mar,knn,0,0.3,0.2865934065934066,0.2964912280701754,0.9824561403508771,0.9950867998689813,0.019553750643522008,0.00877192982456132,-0.0003275466754012468,-0.001464602714227426
wdbc,logistic_regression,mar,iterative,0,0.3,0.2865934065934066,0.2964912280701754,0.9736842105263158,0.9882083196855552,0.022607507747595037,0.0,-0.007206026858827319,0.0015891543898456026
wdbc,logistic_regression,mar,simple,0,0.5,0.48747252747252745,0.5017543859649123,0.9649122807017544,0.9921388797903702,0.02310459384239143,-0.00877192982456143,-0.003275466754012357,0.0020862404846419963
wdbc,logistic_regression,mar,knn,0,0.5,0.48747252747252745,0.5017543859649123,0.9736842105263158,0.9937766131673764,0.021326174279976053,0.0,-0.001637733377006123,0.0003078209222266183
wdbc,logistic_regression,mar,iterative,0,0.5,0.48747252747252745,0.5017543859649123,0.9649122807017544,0.9882083196855552,0.022844542947345402,-0.00877192982456143,-0.007206026858827319,0.0018261895895959682
wdbc,logistic_regression,mar,simple,1,0.1,0.10373626373626374,0.11403508771929824,0.9473684210526315,0.9967245332459875,0.028090403861843513,-0.00877192982456143,-0.0009826400262037405,0.002144953686226192
wdbc,logistic_regression,mar,knn,1,0.1,0.10373626373626374,0.11403508771929824,0.9473684210526315,0.996069439895185,0.02929362271043787,-0.00877192982456143,-0.0016377333770062341,0.003348172534820549
wdbc,logistic_regression,mar,iterative,1,0.1,0.10373626373626374,0.11403508771929824,0.9298245614035088,0.9954143465443825,0.030862330533275792,-0.02631578947368418,-0.0022928267278087278,0.004916880357658471
wdbc,logistic_regression,mar,simple,1,0.2,0.20043956043956043,0.2,0.9473684210526315,0.9954143465443825,0.035136544658897866,-0.00877192982456143,-0.0022928267278087278,0.009191094483280544
wdbc,logistic_regression,mar,knn,1,0.2,0.20043956043956043,0.2,0.9473684210526315,0.9950867998689813,0.03429789134877033,-0.00877192982456143,-0.0026203734032099746,0.008352441173153008
wdbc,logistic_regression,mar,iterative,1,0.2,0.20043956043956043,0.2,0.9298245614035088,0.9950867998689813,0.03410621746001466,-0.02631578947368418,-0.0026203734032099746,0.008160767284397338
wdbc,logistic_regression,mar,simple,1,0.3,0.29406593406593406,0.2982456140350877,0.9473684210526315,0.9967245332459875,0.03229740585324831,-0.00877192982456143,-0.0009826400262037405,0.0063519556776309855
