dataset,model,mechanism,variant,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,mar,simple,0,0.1,0.10285714285714286,0.10175438596491228,0.9649122807017544,0.99475925319358,0.02226781104956381,0.029538909114565075,-0.00877192982456143,-0.0006550933508024936,0.0012494576918143756,-0.00026666646274270053
wdbc,logistic_regression,mar,simple_plus_indicators,0,0.1,0.10285714285714286,0.10175438596491228,0.9649122807017544,0.9980347199475925,0.0225826017958276,0.03313603673850583,-0.00877192982456143,0.0026203734032099746,0.0015642484380781647,0.0033304611611980513
wdbc,logistic_regression,mar,simple,0,0.2,0.19824175824175824,0.19298245614035087,0.9736842105263158,0.9882083196855552,0.022446793012138082,0.039945170150044625,0.0,-0.007206026858827319,0.0014284396543886475,0.01013959457273685
wdbc,logistic_regression,mar,simple_plus_indicators,0,0.2,0.19824175824175824,0.19298245614035087,0.9736842105263158,0.9882083196855552,0.02328028764085725,0.02902729886201458,0.0,-0.007206026858827319,0.002261934283107815,-0.0007782767152931941
wdbc,logistic_regression,mar,simple,0,0.3,0.2865934065934066,0.2964912280701754,0.9824561403508771,0.9882083196855551,0.019757940501202904,0.03913609907812544,0.00877192982456132,-0.00720602685882743,-0.0012604128565465306,0.009330523500817662
wdbc,logistic_regression,mar,simple_plus_indicators,0,0.3,0.2865934065934066,0.2964912280701754,0.9824561403508771,0.9888634130363576,0.0183981854181994,0.031077564686662364,0.00877192982456132,-0.0065509335080249365,-0.0026201679395500346,0.001271989109354589
wdbc,logistic_regression,mar,simple,0,0.5,0.48747252747252745,0.5017543859649123,0.9649122807017544,0.9921388797903702,0.02310459384239143,0.031579652796076926,-0.00877192982456143,-0.003275466754012357,0.0020862404846419963,0.001774077218769151
wdbc,logistic_regression,mar,simple_plus_indicators,0,0.5,0.48747252747252745,0.5017543859649123,0.9649122807017544,0.9898460530625615,0.02450974956937595,0.035388645085301,-0.00877192982456143,-0.005568293481821085,0.0034913962116265157,0.005583069507993223
wdbc,logistic_regression,mar,simple,1,0.1,0.10373626373626374,0.11403508771929824,0.9473684210526315,0.9967245332459875,0.028090403861843513,0.04172058029444334,-0.00877192982456143,-0.0009826400262037405,0.002144953686226192,0.0018961301869107883
wdbc,logistic_regression,mar,simple_plus_indicators,1,0.1,0.10373626373626374,0.11403508771929824,0.9385964912280702,0.9914837864395676,0.04513518687652507,0.04716063261243583,-0.01754385964912275,-0.00622338683262369,0.019189736700907747,0.0073361825049032825
wdbc,logistic_regression,mar,simple,1,0.2,0.20043956043956043,0.2,0.9473684210526315,0.9954143465443825,0.035136544658897866,0.0584253268293469,-0.00877192982456143,-0.0022928267278087278,0.009191094483280544,0.018600876721814354
wdbc,logistic_regression,mar,simple_plus_indicators,1,0.2,0.20043956043956043,0.2,0.9385964912280702,0.9954143465443825,0.03012620907858654,0.03644994635231282,-0.01754385964912275,-0.0022928267278087278,0.00418075890296922,-0.003374503755219728
wdbc,logistic_regression,mar,simple,1,0.3,0.29406593406593406,0.2982456140350877,0.9473684210526315,0.9967245332459875,0.03229740585324831,0.039089675232439586,-0.00877192982456143,-0.0009826400262037405,0.0063519556776309855,-0.0007347748750929639
wdbc,logistic_regression,mar,simple_plus_indicators,1,0.3,0.29406593406593406,0.2982456140350877,0.9473684210526315,0.9970520799213888,0.026248606438819662,0.04168327070919388,-0.00877192982456143,-0.0006550933508024936,0.00030315626320234074,0.001858820601661329
wdbc,logistic_regression,mar,simple,1,0.5,0.4826373626373626,0.4982456140350877,0.9385964912280702,0.99475925319358,0.04056808332234323,0.04934490072623143,-0.01754385964912275,-0.0029479200786112214,0.014622633146725912,0.009520450618698884
wdbc,logistic_regression,mar,simple_plus_indicators,1,0.5,0.4826373626373626,0.4982456140350877,0.956140350877193,0.99475925319358,0.032235764492339516,0.03060880372308539,0.0,-0.0029479200786112214,0.006290314316722195,-0.009215646384447159
