dataset,model,mechanism,fold,rate,train_actual_rate,test_actual_rate,clean_accuracy,clean_roc_auc,clean_brier,accuracy,roc_auc,brier,accuracy_change,roc_auc_change,brier_change
wdbc,logistic_regression,mcar,0,0.1,0.09692307692307692,0.09912280701754386,0.9736842105263158,0.9954143465443825,0.021018353357749434,0.9736842105263158,0.9963969865705863,0.0208261609512173,0.0,0.0009826400262037405,-0.0001921924065321351
wdbc,logistic_regression,mcar,0,0.2,0.20373626373626375,0.20058479532163742,0.9736842105263158,0.9954143465443825,0.021018353357749434,0.9736842105263158,0.9918113331149689,0.02590253378827117,0.0,-0.003603013429413604,0.004884180430521735
wdbc,logistic_regression,mcar,0,0.3,0.3054945054945055,0.306140350877193,0.9736842105263158,0.9954143465443825,0.021018353357749434,0.9473684210526315,0.9918113331149689,0.03543965946283377,-0.026315789473684292,-0.003603013429413604,0.014421306105084335
wdbc,logistic_regression,mcar,0,0.5,0.5022710622710622,0.5084795321637426,0.9736842105263158,0.9954143465443825,0.021018353357749434,0.9473684210526315,0.9954143465443827,0.027838960452464492,-0.026315789473684292,1.1102230246251565e-16,0.006820607094715058
wdbc,logistic_regression,mcar,1,0.1,0.10007326007326008,0.1023391812865497,0.956140350877193,0.9977071732721913,0.02594545017561732,0.9473684210526315,0.9954143465443825,0.03641532981863728,-0.00877192982456143,-0.0022928267278087278,0.010469879643019958
wdbc,logistic_regression,mcar,1,0.2,0.19985347985347984,0.19035087719298247,0.956140350877193,0.9977071732721913,0.02594545017561732,0.9385964912280702,0.9934490664919752,0.03445884366552947,-0.01754385964912275,-0.004258106780216098,0.008513393489912147
wdbc,logistic_regression,mcar,1,0.3,0.2986080586080586,0.289766081871345,0.956140350877193,0.9977071732721913,0.02594545017561732,0.9298245614035088,0.990501146413364,0.0493166938599365,-0.02631578947368418,-0.007206026858827319,0.023371243684319178
wdbc,logistic_regression,mcar,1,0.5,0.4950915750915751,0.493859649122807,0.956140350877193,0.9977071732721913,0.02594545017561732,0.9385964912280702,0.9921388797903701,0.0393998449194872,-0.01754385964912275,-0.005568293481821196,0.013454394743869877
wdbc,logistic_regression,mcar,2,0.1,0.10175824175824176,0.10877192982456141,0.9649122807017544,0.9851190476190477,0.029953816011515137,0.9649122807017544,0.980489417989418,0.03059045900382822,0.0,-0.00462962962962965,0.0006366429923130822
wdbc,logistic_regression,mcar,2,0.2,0.2019047619047619,0.20701754385964913,0.9649122807017544,0.9851190476190477,0.029953816011515137,0.956140350877193,0.9818121693121693,0.033783608392178796,-0.00877192982456143,-0.003306878306878369,0.003829792380663659
wdbc,logistic_regression,mcar,2,0.3,0.3035164835164835,0.306140350877193,0.9649122807017544,0.9851190476190477,0.029953816011515137,0.9473684210526315,0.9841269841269842,0.03851529456799693,-0.01754385964912286,-0.0009920634920634885,0.008561478556481796
wdbc,logistic_regression,mcar,2,0.5,0.5022710622710622,0.5105263157894737,0.9649122807017544,0.9851190476190477,0.029953816011515137,0.956140350877193,0.9738756613756614,0.03991602537276729,-0.00877192982456143,-0.011243386243386277,0.009962209361252153
wdbc,logistic_regression,mcar,3,0.1,0.10249084249084249,0.10994152046783626,0.9912280701754386,1.0,0.011000044840995779,0.9824561403508771,0.9990079365079365,0.015832968660957337,-0.00877192982456143,-0.0009920634920634885,0.004832923819961558
wdbc,logistic_regression,mcar,3,0.2,0.20351648351648352,0.204093567251462,0.9912280701754386,1.0,0.011000044840995779,0.9736842105263158,0.9993386243386243,0.01717535571186989,-0.01754385964912275,-0.000661375661375696,0.0061753108708741105
wdbc,logistic_regression,mcar,3,0.3,0.30153846153846153,0.3,0.9912280701754386,1.0,0.011000044840995779,0.9736842105263158,0.998015873015873,0.025053913414088833,-0.01754385964912275,-0.001984126984126977,0.014053868573093055
wdbc,logistic_regression,mcar,3,0.5,0.4988278388278388,0.5046783625730994,0.9912280701754386,1.0,0.011000044840995779,0.9210526315789473,0.986441798941799,0.06272980316222486,-0.07017543859649122,-0.013558201058201047,0.05172975832122908
wdbc,logistic_regression,mcar,4,0.1,0.09926900584795322,0.10117994100294986,0.9911504424778761,0.9986586183769282,0.011509393115626572,0.9734513274336283,0.9979879275653923,0.017910396732371065,-0.017699115044247815,-0.0006706908115358123,0.006401003616744493
wdbc,logistic_regression,mcar,4,0.2,0.20109649122807016,0.20766961651917404,0.9911504424778761,0.9986586183769282,0.011509393115626572,0.9734513274336283,0.9963112005365526,0.02407393764018926,-0.017699115044247815,-0.0023474178403755097,0.012564544524562687
wdbc,logistic_regression,mcar,4,0.3,0.3047514619883041,0.31091445427728615,0.9911504424778761,0.9986586183769282,0.011509393115626572,0.9646017699115044,0.9909456740442656,0.030598732054140796,-0.026548672566371723,-0.0077129443326625635,0.019089338938514222
wdbc,logistic_regression,mcar,4,0.5,0.5054093567251462,0.512094395280236,0.9911504424778761,0.9986586183769282,0.011509393115626572,0.9380530973451328,0.9862508383635145,0.04743313767280853,-0.053097345132743334,-0.012407780013413694,0.03592374455718196
