dataset,model,mechanism,imputer,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean
wdbc,logistic_regression,mcar,simple,0,0.1,0.09692307692307692,0.09912280701754386,0.9736842105263158,0.9963969865705863,0.0208261609512173,0.0,0.0009826400262037405,-0.0001921924065321351
wdbc,logistic_regression,mcar,knn,0,0.1,0.09692307692307692,0.09912280701754386,0.9824561403508771,0.9986898132983951,0.018000629395356765,0.00877192982456132,0.0032754667540125793,-0.003017723962392669
wdbc,logistic_regression,mcar,iterative,0,0.1,0.09692307692307692,0.09912280701754386,0.9649122807017544,0.9918113331149689,0.02355484345195365,-0.00877192982456143,-0.003603013429413604,0.0025364900942042162
wdbc,logistic_regression,mcar,simple,0,0.2,0.20373626373626375,0.20058479532163742,0.9736842105263158,0.9918113331149689,0.02590253378827117,0.0,-0.003603013429413604,0.004884180430521735
wdbc,logistic_regression,mcar,knn,0,0.2,0.20373626373626375,0.20058479532163742,0.9912280701754386,0.9993449066491975,0.013628634744718246,0.01754385964912275,0.003930560104814962,-0.007389718613031188
wdbc,logistic_regression,mcar,iterative,0,0.2,0.20373626373626375,0.20058479532163742,0.9649122807017544,0.990501146413364,0.024974907035334313,-0.00877192982456143,-0.004913200131018591,0.003956553677584879
wdbc,logistic_regression,mcar,simple,0,0.3,0.3054945054945055,0.306140350877193,0.9473684210526315,0.9918113331149689,0.03543965946283377,-0.026315789473684292,-0.003603013429413604,0.014421306105084335
wdbc,logistic_regression,mcar,knn,0,0.3,0.3054945054945055,0.306140350877193,0.9736842105263158,0.998689813298395,0.01767637353109011,0.0,0.0032754667540124682,-0.0033419798266593227
wdbc,logistic_regression,mcar,iterative,0,0.3,0.3054945054945055,0.306140350877193,0.956140350877193,0.9911562397641664,0.02801109607374094,-0.01754385964912286,-0.004258106780216098,0.006992742715991505
wdbc,logistic_regression,mcar,simple,0,0.5,0.5022710622710622,0.5084795321637426,0.9473684210526315,0.9954143465443827,0.027838960452464492,-0.026315789473684292,1.1102230246251565e-16,0.006820607094715058
wdbc,logistic_regression,mcar,knn,0,0.5,0.5022710622710622,0.5084795321637426,0.9385964912280702,0.9846053062561415,0.045337306220121776,-0.03508771929824561,-0.010809040288241034,0.02431895286237234
wdbc,logistic_regression,mcar,iterative,0,0.5,0.5022710622710622,0.5084795321637426,0.9824561403508771,0.996069439895185,0.02174611828082159,0.00877192982456132,0.0006550933508024936,0.0007277649230721557
wdbc,logistic_regression,mcar,simple,1,0.1,0.10007326007326008,0.1023391812865497,0.9473684210526315,0.9954143465443825,0.03641532981863728,-0.00877192982456143,-0.0022928267278087278,0.010469879643019958
wdbc,logistic_regression,mcar,knn,1,0.1,0.10007326007326008,0.1023391812865497,0.9385964912280702,0.99737962659679,0.033244001970675924,-0.01754385964912275,-0.0003275466754012468,0.007298551795058603
wdbc,logistic_regression,mcar,iterative,1,0.1,0.10007326007326008,0.1023391812865497,0.9473684210526315,0.99737962659679,0.027056223699801672,-0.00877192982456143,-0.0003275466754012468,0.001110773524184351
wdbc,logistic_regression,mcar,simple,1,0.2,0.19985347985347984,0.19035087719298247,0.9385964912280702,0.9934490664919752,0.03445884366552947,-0.01754385964912275,-0.004258106780216098,0.008513393489912147
wdbc,logistic_regression,mcar,knn,1,0.2,0.19985347985347984,0.19035087719298247,0.9649122807017544,0.9973796265967901,0.030013500931009605,0.00877192982456143,-0.0003275466754011358,0.004068050755392284
wdbc,logistic_regression,mcar,iterative,1,0.2,0.19985347985347984,0.19035087719298247,0.9298245614035088,0.986570586308549,0.036158176409845956,-0.02631578947368418,-0.011136586963642281,0.010212726234228635
wdbc,logistic_regression,mcar,simple,1,0.3,0.2986080586080586,0.289766081871345,0.9298245614035088,0.990501146413364,0.0493166938599365,-0.02631578947368418,-0.007206026858827319,0.023371243684319178
wdbc,logistic_regression,mcar,knn,1,0.3,0.2986080586080586,0.289766081871345,0.9473684210526315,0.9921388797903702,0.04401779691456566,-0.00877192982456143,-0.005568293481821085,0.018072346738948336
wdbc,logistic_regression,mcar,iterative,1,0.3,0.2986080586080586,0.289766081871345,0.9385964912280702,0.9967245332459875,0.03210976626946277,-0.01754385964912275,-0.0009826400262037405,0.006164316093845448
wdbc,logistic_regression,mcar,simple,1,0.5,0.4950915750915751,0.493859649122807,0.9385964912280702,0.9921388797903701,0.0393998449194872,-0.01754385964912275,-0.005568293481821196,0.013454394743869877
