dataset,model,mechanism,imputer,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean
wdbc,logistic_regression,mcar,iterative,0.1,0.9701599130569788,0.01707576447401545,0.9946589311926685,0.005837236454782706,0.021247951866167625,0.008172089167624321,-0.0052631578947368585,-0.0007209059698414233,0.0013625403658667774
wdbc,logistic_regression,mcar,iterative,0.2,0.9666511411271541,0.023517323468219255,0.9921680167135458,0.006521548093168151,0.024053517019158126,0.01022028736192661,-0.008771929824561408,-0.0032118204489642197,0.00416810551885728
wdbc,logistic_regression,mcar,iterative,0.3,0.9666511411271541,0.020919951573517347,0.9941276860127172,0.005492433623272821,0.02324246342069278,0.008328807410857167,-0.008771929824561408,-0.0012521511497928018,0.003357051920391929
wdbc,logistic_regression,mcar,iterative,0.5,0.9578326346840553,0.022681997617505712,0.9957735430671887,0.0044200579063015276,0.02805407177739771,0.006749941385316577,-0.017590436267660305,0.0003937059046787539,0.00816866027709686
wdbc,logistic_regression,mcar,knn,0.1,0.9666356155876417,0.01898496401736791,0.9954384576190997,0.005973292558258471,0.023573373313019026,0.008308766500100762,-0.008787455364073904,5.86204565896864e-05,0.003687961812718175
wdbc,logistic_regression,mcar,knn,0.2,0.9771619313771154,0.011751613044298241,0.9952359939135242,0.006277185035597285,0.02333468672089282,0.00827474844161816,0.0017388604253997686,-0.0001438432489857089,0.0034492752205919726
wdbc,logistic_regression,mcar,knn,0.3,0.9631113181183046,0.011383963556648193,0.9933945187056882,0.006941777354698796,0.030065521213899625,0.010123513687481385,-0.012311752833410971,-0.0019853184568218605,0.010180109713598777
wdbc,logistic_regression,mcar,knn,0.5,0.9174041297935103,0.013260824002417333,0.9770790548632016,0.014605408156275942,0.05932179256883687,0.012997977329625208,-0.05801894115820525,-0.018300782299308337,0.03943638106853603
wdbc,logistic_regression,mcar,simple,0.1,0.9683744760130415,0.013280644871813506,0.9938593230355431,0.007602068654723766,0.02431506303340224,0.008816676867862422,-0.007048594938674135,-0.0015205141269667877,0.004429651533101391
wdbc,logistic_regression,mcar,simple,0.2,0.9631113181183046,0.015652947183506308,0.9925444787588582,0.00664994087701463,0.02707885583960772,0.007209551110085177,-0.01231175283341095,-0.0028353584036518555,0.0071934443393068676
wdbc,logistic_regression,mcar,simple,0.3,0.9525694767893184,0.017044362675254127,0.9910802021430911,0.0049330195387969995,0.03578485867179937,0.009120500283076415,-0.022853594162397163,-0.004299635019418791,0.015899447171498514
wdbc,logistic_regression,mcar,simple,0.5,0.9402421984163949,0.013031445543250008,0.9868243050031456,0.008218516677517102,0.04346355431595047,0.012846911746545587,-0.03518087253532061,-0.00855553215936442,0.023578142815649628
