dataset,model,mechanism,imputer,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean
wdbc,logistic_regression,mnar,simple,0,0.1,0.09758241758241758,0.1,0.9736842105263158,0.9944317065181789,0.02229251925633261,0.0,-0.0009826400262036294,0.0012741658985831773
wdbc,logistic_regression,mnar,knn,0,0.1,0.09758241758241758,0.1,0.9736842105263158,0.996069439895185,0.021143103911254613,0.0,0.0006550933508024936,0.00012475055350517905
wdbc,logistic_regression,mnar,iterative,0,0.1,0.09758241758241758,0.1,0.9736842105263158,0.9950867998689814,0.022047340132375602,0.0,-0.0003275466754011358,0.0010289867746261679
wdbc,logistic_regression,mnar,simple,0,0.2,0.20395604395604397,0.20877192982456141,0.9736842105263158,0.9908286930887651,0.017843731183684142,0.0,-0.0045856534556174555,-0.003174622174065292
wdbc,logistic_regression,mnar,knn,0,0.2,0.20395604395604397,0.20877192982456141,0.9736842105263158,0.9954143465443825,0.018132409515526048,0.0,0.0,-0.0028859438422233867
wdbc,logistic_regression,mnar,iterative,0,0.2,0.20395604395604397,0.20877192982456141,0.9912280701754386,0.9898460530625613,0.01632576163890786,0.01754385964912275,-0.005568293481821196,-0.004692591718841576
wdbc,logistic_regression,mnar,simple,0,0.3,0.2945054945054945,0.30350877192982456,0.9736842105263158,0.9842777595807403,0.019430186113145106,0.0,-0.011136586963642281,-0.0015881672446043278
wdbc,logistic_regression,mnar,knn,0,0.3,0.2945054945054945,0.30350877192982456,0.9824561403508771,0.9941041598427776,0.01796692764677925,0.00877192982456132,-0.0013101867016049873,-0.0030514257109701855
wdbc,logistic_regression,mnar,iterative,0,0.3,0.2945054945054945,0.30350877192982456,0.9912280701754386,0.9901735997379626,0.017004757206344798,0.01754385964912275,-0.005240746806419949,-0.004013596151404637
wdbc,logistic_regression,mnar,simple,0,0.5,0.48747252747252745,0.49298245614035086,0.956140350877193,0.986570586308549,0.029202910090379255,-0.01754385964912286,-0.008843760235833553,0.00818455673262982
wdbc,logistic_regression,mnar,knn,0,0.5,0.48747252747252745,0.49298245614035086,0.9649122807017544,0.9898460530625615,0.02470927706434283,-0.00877192982456143,-0.005568293481821085,0.003690923706593397
wdbc,logistic_regression,mnar,iterative,0,0.5,0.48747252747252745,0.49298245614035086,0.9649122807017544,0.9868981329839502,0.022094115308296327,-0.00877192982456143,-0.008516213560432306,0.0010757619505468927
wdbc,logistic_regression,mnar,simple,1,0.1,0.1010989010989011,0.10877192982456141,0.956140350877193,0.9990173599737963,0.02719797462413426,0.0,0.0013101867016049873,0.0012525244485169403
wdbc,logistic_regression,mnar,knn,1,0.1,0.1010989010989011,0.10877192982456141,0.956140350877193,0.9980347199475925,0.029057832655306804,0.0,0.0003275466754012468,0.003112382479689483
wdbc,logistic_regression,mnar,iterative,1,0.1,0.1010989010989011,0.10877192982456141,0.9473684210526315,0.9990173599737963,0.026898812639647343,-0.00877192982456143,0.0013101867016049873,0.000953362464030022
wdbc,logistic_regression,mnar,simple,1,0.2,0.20043956043956043,0.18421052631578946,0.9649122807017544,0.9960694398951851,0.028733873471458962,0.00877192982456143,-0.001637733377006123,0.002788423295841641
wdbc,logistic_regression,mnar,knn,1,0.2,0.20043956043956043,0.18421052631578946,0.956140350877193,0.9950867998689813,0.029982516173335718,0.0,-0.0026203734032099746,0.004037065997718397
wdbc,logistic_regression,mnar,iterative,1,0.2,0.20043956043956043,0.18421052631578946,0.9473684210526315,0.998689813298395,0.023222419206429576,-0.00877192982456143,0.0009826400262037405,-0.0027230309691877452
wdbc,logistic_regression,mnar,simple,1,0.3,0.2967032967032967,0.2964912280701754,0.9473684210526315,0.9993449066491975,0.029535586936664637,-0.00877192982456143,0.0016377333770062341,0.003590136761047316
wdbc,logistic_regression,mnar,knn,1,0.3,0.2967032967032967,0.2964912280701754,0.956140350877193,0.9980347199475926,0.029151090383508563,0.0,0.00032754667540135785,0.0032056402078912416
wdbc,logistic_regression,mnar,iterative,1,0.3,0.2967032967032967,0.2964912280701754,0.9473684210526315,0.9986898132983951,0.02960741933166456,-0.00877192982456143,0.0009826400262038515,0.0036619691560472387
wdbc,logistic_regression,mnar,simple,1,0.5,0.4949450549450549,0.48771929824561405,0.9473684210526315,0.9980347199475925,0.029549448952935504,-0.00877192982456143,0.0003275466754012468,0.0036039987773181827
wdbc,logistic_regression,mnar,knn,1,0.5,0.4949450549450549,0.48771929824561405,0.956140350877193,0.9963969865705863,0.030281002062791953,0.0,-0.0013101867016049873,0.004335551887174632
wdbc,logistic_regression,mnar,iterative,1,0.5,0.4949450549450549,0.48771929824561405,0.9649122807017544,0.9996724533245988,0.024266509500677293,0.00877192982456143,0.001965280052407481,-0.0016789406749400278
wdbc,logistic_regression,mnar,simple,2,0.1,0.09758241758241758,0.10175438596491228,0.956140350877193,0.9857804232804233,0.03253761334058917,-0.00877192982456143,0.000661375661375585,0.0025837973290740307
wdbc,logistic_regression,mnar,knn,2,0.1,0.09758241758241758,0.10175438596491228,0.956140350877193,0.9857804232804233,0.032376661309690774,-0.00877192982456143,0.000661375661375585,0.002422845298175637
wdbc,logistic_regression,mnar,iterative,2,0.1,0.09758241758241758,0.10175438596491228,0.956140350877193,0.9857804232804233,0.030025943260870862,-0.00877192982456143,0.000661375661375585,7.212724935572526e-05
wdbc,logistic_regression,mnar,simple,2,0.2,0.20659340659340658,0.2,0.956140350877193,0.9841269841269842,0.03919668605703919,-0.00877192982456143,-0.0009920634920634885,0.00924287004552405
wdbc,logistic_regression,mnar,knn,2,0.2,0.20659340659340658,0.2,0.956140350877193,0.9841269841269842,0.03880437532547849,-0.00877192982456143,-0.0009920634920634885,0.008850559313963356
wdbc,logistic_regression,mnar,iterative,2,0.2,0.20659340659340658,0.2,0.956140350877193,0.9854497354497355,0.03469359602824663,-0.00877192982456143,0.0003306878306877925,0.00473978001673149
