dataset,model,mechanism,variant,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
wdbc,logistic_regression,mnar,simple,0,0.1,0.09758241758241758,0.1,0.9736842105263158,0.9944317065181789,0.02229251925633261,0.03848028160491948,0.0,-0.0009826400262036294,0.0012741658985831773,0.008674706027611705
wdbc,logistic_regression,mnar,simple_plus_indicators,0,0.1,0.09758241758241758,0.1,0.9736842105263158,0.9950867998689814,0.02210547118336566,0.03488396400697863,0.0,-0.0003275466754011358,0.0010871178256162267,0.005078388429670854
wdbc,logistic_regression,mnar,simple,0,0.2,0.20395604395604397,0.20877192982456141,0.9736842105263158,0.9908286930887651,0.017843731183684142,0.03204159675635234,0.0,-0.0045856534556174555,-0.003174622174065292,0.002236021179044565
wdbc,logistic_regression,mnar,simple_plus_indicators,0,0.2,0.20395604395604397,0.20877192982456141,0.9649122807017544,0.9950867998689813,0.021323094866003343,0.03399905659005292,-0.00877192982456143,-0.0003275466754012468,0.00030474150825390844,0.004193481012745148
wdbc,logistic_regression,mnar,simple,0,0.3,0.2945054945054945,0.30350877192982456,0.9736842105263158,0.9842777595807403,0.019430186113145106,0.031214194111785075,0.0,-0.011136586963642281,-0.0015881672446043278,0.0014086185344772996
wdbc,logistic_regression,mnar,simple_plus_indicators,0,0.3,0.2945054945054945,0.30350877192982456,0.9649122807017544,0.9908286930887651,0.024980050094479827,0.025948046679218593,-0.00877192982456143,-0.0045856534556174555,0.003961696736730393,-0.003857528898089182
wdbc,logistic_regression,mnar,simple,0,0.5,0.48747252747252745,0.49298245614035086,0.956140350877193,0.986570586308549,0.029202910090379255,0.02732504926293166,-0.01754385964912286,-0.008843760235833553,0.00818455673262982,-0.0024805263143761157
wdbc,logistic_regression,mnar,simple_plus_indicators,0,0.5,0.48747252747252745,0.49298245614035086,0.9649122807017544,0.9901735997379627,0.030747593517482213,0.03920542594196415,-0.00877192982456143,-0.005240746806419838,0.00972924015973278,0.009399850364656372
wdbc,logistic_regression,mnar,simple,1,0.1,0.1010989010989011,0.10877192982456141,0.956140350877193,0.9990173599737963,0.02719797462413426,0.04248589052110483,0.0,0.0013101867016049873,0.0012525244485169403,0.0026614404135722816
wdbc,logistic_regression,mnar,simple_plus_indicators,1,0.1,0.1010989010989011,0.10877192982456141,0.956140350877193,0.9993449066491975,0.023793187065234023,0.042338608690848614,0.0,0.0016377333770062341,-0.0021522631103832977,0.0025141585833160646
wdbc,logistic_regression,mnar,simple,1,0.2,0.20043956043956043,0.18421052631578946,0.9649122807017544,0.9960694398951851,0.028733873471458962,0.04292917572642349,0.00877192982456143,-0.001637733377006123,0.002788423295841641,0.003104725618890941
wdbc,logistic_regression,mnar,simple_plus_indicators,1,0.2,0.20043956043956043,0.18421052631578946,0.956140350877193,0.996069439895185,0.026902654057692887,0.030113445366128876,0.0,-0.0016377333770062341,0.0009572038820755656,-0.009711004741403673
wdbc,logistic_regression,mnar,simple,1,0.3,0.2967032967032967,0.2964912280701754,0.9473684210526315,0.9993449066491975,0.029535586936664637,0.04601790814447401,-0.00877192982456143,0.0016377333770062341,0.003590136761047316,0.006193458036941463
wdbc,logistic_regression,mnar,simple_plus_indicators,1,0.3,0.2967032967032967,0.2964912280701754,0.9736842105263158,0.998689813298395,0.016042272770194047,0.024192796013677617,0.01754385964912286,0.0009826400262037405,-0.009903177405423274,-0.015631654093854933
wdbc,logistic_regression,mnar,simple,1,0.5,0.4949450549450549,0.48771929824561405,0.9473684210526315,0.9980347199475925,0.029549448952935504,0.058693153102694594,-0.00877192982456143,0.0003275466754012468,0.0036039987773181827,0.018868702995162044
