dataset,model,imputer,regime,mechanism,rate,n_runs,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_ece,std_ece,mean_clean_accuracy,mean_clean_roc_auc,mean_clean_brier,mean_clean_ece,mean_accuracy_change,mean_roc_auc_change,mean_brier_change,mean_ece_change,mean_train_actual_rate,mean_test_actual_rate
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mar,0.1,2,0.9074074074074074,0.026189140043946204,0.9326388888888888,0.006874649261535972,0.09110943031411192,0.0163137147632624,0.09805608645410427,0.0045903155273499295,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,0.0,-0.0013888888888889395,0.0014638555432367195,-0.00020512880114387927,0.0,0.10493827160493827
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mar,0.2,2,0.9166666666666666,0.039283710065919325,0.9354166666666668,0.0009820927516479398,0.09146420416745227,0.014233647009325891,0.12403847323677958,0.0008439584850256016,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,0.009259259259259245,0.0013888888888889395,0.001818629396577065,0.025777257981531437,0.0,0.19444444444444442
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mar,0.3,2,0.9166666666666666,0.039283710065919325,0.9361111111111111,0.001964185503296076,0.09134524396958496,0.013920753315432688,0.1282662072758141,0.0008965008511585671,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,0.009259259259259245,0.0020833333333333814,0.001699669198709751,0.030004992020565946,0.0,0.32098765432098764
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mar,0.5,2,0.8981481481481481,0.039283710065919325,0.9319444444444445,0.005892556509888032,0.09245395398709128,0.013018953902815657,0.1059501522975341,0.00742698031289779,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,-0.009259259259259245,-0.002083333333333326,0.0028083792162160656,0.007688937042285952,0.0,0.5246913580246915
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mcar,0.1,2,0.8796296296296295,0.013094570021973121,0.9229166666666667,0.008838834764831813,0.10353256186863127,0.016444076864019778,0.10300539508361056,0.011551974836719388,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,-0.02777777777777779,-0.011111111111111072,0.01388698709775607,0.0047441798283624215,0.0,0.10185185185185186
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mcar,0.2,2,0.8425925925925926,0.06547285010986549,0.89375,0.016695576778015687,0.1253582767723498,0.027756579761326162,0.1271114999402234,0.05301720470915588,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,-0.06481481481481483,-0.0402777777777778,0.03571270200147461,0.02885028468497524,0.0,0.20797720797720798
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mcar,0.3,2,0.8148148148148149,0.07856742013183853,0.8756944444444444,0.014731391274719688,0.13965782237271204,0.019225583575172667,0.1289415016828111,0.034484649468589555,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,-0.09259259259259256,-0.05833333333333335,0.05001224760183683,0.03068028642756295,0.0,0.3055555555555556
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mcar,0.5,2,0.7777777777777778,0.026189140043946166,0.8,0.015713484026367668,0.17695659224140878,0.012709783311581294,0.1718201394584536,0.0062128675505723225,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,-0.1296296296296296,-0.13402777777777775,0.08731101747053358,0.07355892420320545,0.0,0.50997150997151
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mnar,0.1,2,0.9074074074074074,0.052378280087892366,0.9354166666666666,0.006874649261535894,0.09198553311333292,0.011468447588135842,0.12218605470395688,0.004148071812823535,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,0.0,0.0013888888888888284,0.002339958342457711,0.02392483944870874,0.0,0.11728395061728394
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mnar,0.2,2,0.9166666666666666,0.039283710065919325,0.9381944444444446,0.00883883476483193,0.08658281514135888,0.007372808392566014,0.12869973506215043,0.012016335688114808,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,0.009259259259259245,0.004166666666666707,-0.003062759629516333,0.030438519806902292,0.0,0.21913580246913578
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mnar,0.3,2,0.9166666666666666,0.039283710065919325,0.9381944444444446,0.00883883476483193,0.0882241259178346,0.007237954659492989,0.12112946165315963,0.00886438964047003,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,0.009259259259259245,0.004166666666666707,-0.0014214488530406022,0.022868246397911483,0.0,0.32098765432098764
statlog_heart,logistic_regression,simple,clean_train_corrupt_test,mnar,0.5,2,0.9166666666666666,0.039283710065919325,0.9430555555555556,0.005892556509887875,0.08662961483784885,0.009681020091186463,0.13129562656211788,0.008168767691082737,0.9074074074074074,0.9340277777777778,0.0896455747708752,0.09826121525524814,0.009259259259259245,0.009027777777777857,-0.003015959933026356,0.03303441130686974,0.0,0.5123456790123457
wdbc,logistic_regression,simple,clean_train_corrupt_test,mar,0.1,2,0.9649122807017544,0.01240538212607982,0.99475925319358,0.0037057676053012887,0.02413036588037698,0.0027718362421473687,0.032812391604537826,0.009551238230402381,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,0.0,-0.0018015067147068575,0.0006484641136936028,-0.0020026212378823384,0.0,0.09824561403508772
wdbc,logistic_regression,simple,clean_train_corrupt_test,mar,0.2,2,0.9605263157894737,0.01860807318911973,0.992630199803472,0.005790261883283185,0.026029935619681064,0.00520445413147226,0.030146148325249325,0.004093895618035588,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,-0.004385964912280715,-0.003930560104814906,0.0025480338529976863,-0.004668864517170836,0.0,0.21140350877192982
wdbc,logistic_regression,simple,clean_train_corrupt_test,mar,0.3,2,0.9649122807017544,0.01240538212607982,0.9923026531280708,0.005790261883283185,0.026121942863221448,0.005444466193121782,0.03339616492904568,0.01312054833452098,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,0.0,-0.004258106780216153,0.00264004109653807,-0.0014188479133744863,0.0,0.3096491228070175
wdbc,logistic_regression,simple,clean_train_corrupt_test,mar,0.5,2,0.9605263157894737,0.00620269106303991,0.9914837864395677,0.006021872358614594,0.02780913907814809,0.007863875909084016,0.031440488185184245,0.007796741045859433,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,-0.004385964912280715,-0.005076973468719215,0.004327237311464713,-0.0033745246572359135,0.0,0.5087719298245614
wdbc,logistic_regression,simple,clean_train_corrupt_test,mcar,0.1,2,0.9561403508771931,0.0248107642521596,0.99737962659679,0.0013896628519879833,0.024782897989367635,0.009465615654447522,0.03995017965896604,0.006328466567111452,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,-0.008771929824561375,0.0008188666885031171,0.0013009962226842552,0.005135166816545874,0.0,0.09634502923976608
wdbc,logistic_regression,simple,clean_train_corrupt_test,mcar,0.2,2,0.9605263157894737,0.01860807318911973,0.9977071732721913,0.0009264419013253222,0.026558405691235916,0.010698672117607524,0.04157104940887618,0.010840947492287084,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,-0.004385964912280715,0.0011464133639043639,0.00307650392455254,0.006756036566456016,0.0,0.20292397660818712
wdbc,logistic_regression,simple,clean_train_corrupt_test,mcar,0.3,2,0.9517543859649122,0.01860807318911961,0.9906649197510645,0.0011580523766565743,0.03845243931751425,0.014929130289711852,0.0513569904790669,0.010335091540063061,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,-0.01315789473684209,-0.005895840157222387,0.014970537550830871,0.01654197763664674,0.0,0.30584795321637426
wdbc,logistic_regression,simple,clean_train_corrupt_test,mcar,0.5,2,0.9078947368421053,0.04341883744127933,0.9698657058630855,0.009264419013253221,0.07478618456543282,0.020473858916534367,0.08448436302778292,0.029581970134610766,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,-0.057017543859649134,-0.026695054045201394,0.051304282798749434,0.049669350185362754,0.0,0.5097953216374269
wdbc,logistic_regression,simple,clean_train_corrupt_test,mnar,0.1,2,0.9649122807017543,0.02481076425215952,0.99475925319358,0.003242546654638628,0.023337685376665595,0.004629891314234847,0.03285449969412055,0.015693842045155813,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,-5.551115123125783e-17,-0.0018015067147068575,-0.0001442163900177828,-0.0019605131482996127,0.0,0.09210526315789473
wdbc,logistic_regression,simple,clean_train_corrupt_test,mnar,0.2,2,0.9649122807017543,0.02481076425215952,0.9927939731411726,0.005558651407951894,0.025082742853397136,0.005991220534996611,0.03665152956726542,0.007344267882236423,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,-5.551115123125783e-17,-0.003766786767114283,0.0016008410867137564,0.0018365167248452514,0.0,0.19649122807017544
wdbc,logistic_regression,simple,clean_train_corrupt_test,mnar,0.3,2,0.9692982456140351,0.031013455315199508,0.9931215198165738,0.005095430457289272,0.025903695996676163,0.00977281221867453,0.04129472755123656,0.009979648720867231,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,0.00438596491228066,-0.0034392400917130916,0.002421794229992783,0.006479714708816397,0.0,0.3043859649122807
wdbc,logistic_regression,simple,clean_train_corrupt_test,mnar,0.5,2,0.9649122807017544,0.01240538212607982,0.9927939731411727,0.005558651407951933,0.02832513233239868,0.010069411459204121,0.03438356906981794,0.017867781035415354,0.9649122807017544,0.9965607599082869,0.023481901766683376,0.03481501284242016,0.0,-0.0037667867671142274,0.004843230565715303,-0.00043144377260222536,0.0,0.5096491228070176
